club,last_name,first_name,position,base_salary,guaranteed_compensation
ATL,Almiron,Miguel,M,1912500,2297000
ATL,Ambrose,Mikey,D,65625,65625
ATL,Asad,Yamil,M,150000,150000
ATL,Bloom,Mark,D,99225,106573.89
ATL,Carleton,Andrew,F,65000,77400
ATL,Carmona,Carlos,M,675000,725000
ATL,Garza,Greg,D,150000,150000
ATL,Gonzalez Pirez,Leandro,D,250008,285008
ATL,Goslin,Chris,M,70000,74000
ATL,Gressel,Julian,,75000,93750
ATL,Heath,Harrison,M,66150,66150
ATL,Jones,Kenwyne,F,390000,413333.33
ATL,Kann,Alec,GK,77004,77004
ATL,Kratz,Kevin,M,150000,164250
ATL,Larentowicz,Jeff,M,175008,175008
ATL,Loyd,Zach,D,85008,85008
ATL,Martinez,Josef,F,924000,1041310
ATL,McCann,Chris,M,540000,568000
ATL,Mears,Tyrone,D,183756,183756
ATL,Oblitey Otoo,Jeffrey,,53000,53000
ATL,Parkhurst,Michael,D,325008,325008
ATL,Peterson,Jacob,F,165300,165300
ATL,Reynish,Kyle,GK,65004,65004
ATL,Robinson,Miles,D,125000.04,195000.04
ATL,Rochez,Bryan,F,200000,279500
ATL,Tambakis,Alexander,GK,65004,65004
ATL,Vazquez,Brandon,F,100008,120008
ATL,Villalba,Hector,F,663000,770750
ATL,Walkes,Anton,D,53004,53004
ATL,Wheeler-Omiunu,Andrew,M,53004,53004
ATL,Williams,Romario,F,65000,65000
CHI,Accam,David,F-M,750000,820937.5
CHI,Alvarez,Arturo,M,135000,142500
CHI,Arshakyan,David,F,156000,178850
CHI,Bronico,Brandt,M,65004,65004
CHI,Calistri,Joey,M,54075,54075
CHI,Campbell,Jonathan,D,101750,109875
CHI,Cleveland,Stefan,GK,53004,53004
CHI,Conner,Drew,M,65625,65625
CHI,De Leeuw,Michael,F,500000,564212.5
CHI,Dekovic,Matej,D,65004,65004
CHI,Doody,Patrick,D,65000,65000
CHI,Fernandez,Collin,M,85000,87000
CHI,Goossens,John,M,230000,233333.33
CHI,Harrington,Michael,D,135000,135000
CHI,Johnson,Daniel,M,65004,65004
CHI,Juninho,,M,700008,716674.67
CHI,Kappelhof,Johan,D,530000,570000
CHI,Lampson,Matt,GK,76000,81375
CHI,McCarty,Dax,M,400000,500000
CHI,Meira,Joao,D-M,150000,165000
CHI,Mihailovic,Djordje,M,80000.04,80000.04
CHI,Nikolic,Nemanja,F,1700000.04,1906333.37
CHI,Polster,Matt,M,99900,114900
CHI,Rodrigo Bava,Jorge,GK,240000,267133.34
CHI,Schweinsteiger,Bastian,M,5400000,5400000
CHI,Solignac,Luis,F,274999.92,328312.42
CHI,Vincent,Brandon,D,96250,118125
CLB,Abu,Mohammed,M,165000,171250
CLB,Abubakar,"Alhassan ""Lalas""",D,65000.04,72500.04
CLB,Afful,Harrison,D,280000,296666.67
CLB,Crognale,Alex,D,84996,84996
CLB,De Lima Junior,Artur,M,80004,99879
CLB,Duka,Dilly,M,175000,175000
CLB,Finlay,Ethan,M,290000,290000
CLB,Francis,Waylon,D,227500,251875
CLB,Hansen,Nikolaj,F,65000.04,72500.04
CLB,Higuain,Federico,M,1050000,1050000
CLB,Hollingsworth,Marshall,M,54075,54075
CLB,Jahn,Adam,F,92500,92500
CLB,Jimenez,Hector,M,150000,150000
CLB,Kamara,Ola,F,450000,482500
CLB,Ketterer,Logan,GK,53004,53004
CLB,Maloney,Connor,D,53004,53004
CLB,Manneh,Kekuta,M-F,138875,168375
CLB,Martinez,Cristian,M,65633.4,70133.4
CLB,Mensah,Jonathan,D,750000,844000
CLB,Meram,Justin,M,300000,328750
CLB,Naess,Nicolai,D,235000,242500
CLB,Obinwa,Abuchi,M,65004,65004
CLB,Raitala,Jukka,D,125004,161670.67
CLB,Saravia,Rodrigo,M,65625,65625
CLB,Sauro,Gaston,D,585000,601312.5
CLB,Steffen,Zack,,105000,105000
CLB,Stuver,Brad,GK,80004,80004
CLB,Swanson,Ben,M,85000,105416.67
CLB,Trapp,Wil,M,300000,350000
CLB,Williams,Josh,D,110004,110004
COL,Adjei-Boateng,Bismark,M,300000,341246
