gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
FEMALE,group B,bachelor's degree, standard,NONE,72%,72%,74%
FEMALE,group C,some college, standard,COMPLETED,69%,90%,88%
FEMALE,group B,master's degree, standard,NONE,90%,95%,93%
MALE,group A,associate's degree, free/reduced,NONE,47%,57%,44%
MALE,group C,some college, standard,NONE,76%,78%,75%
FEMALE,group B,associate's degree, standard,NONE,71%,83%,78%
FEMALE,group B,some college, standard,COMPLETED,88%,95%,92%
MALE,group B,some college, free/reduced,NONE,40%,43%,39%
MALE,group D,high school, free/reduced,COMPLETED,64%,64%,67%
FEMALE,group B,high school, free/reduced,NONE,38%,60%,50%
MALE,group C,associate's degree, standard,NONE,58%,54%,52%
MALE,group D,associate's degree, standard,NONE,40%,52%,43%
FEMALE,group B,high school, standard,NONE,65%,81%,73%
MALE,group A,some college, standard,COMPLETED,78%,72%,70%
FEMALE,group A,master's degree, standard,NONE,50%,53%,58%
FEMALE,group C,some high school, standard,NONE,69%,75%,78%
MALE,group C,high school, standard,NONE,88%,89%,86%
FEMALE,group B,some high school, free/reduced,NONE,18%,32%,28%
MALE,group C,master's degree, free/reduced,COMPLETED,46%,42%,46%
FEMALE,group C,associate's degree, free/reduced,NONE,54%,58%,61%
MALE,group D,high school, standard,NONE,66%,69%,63%
FEMALE,group B,some college, free/reduced,COMPLETED,65%,75%,70%
MALE,group D,some college, standard,NONE,44%,54%,53%
FEMALE,group C,some high school, standard,NONE,69%,73%,73%
MALE,group D,bachelor's degree, free/reduced,COMPLETED,74%,71%,80%
MALE,group A,master's degree, free/reduced,NONE,73%,74%,72%
MALE,group B,some college, standard,NONE,69%,54%,55%
FEMALE,group C,bachelor's degree, standard,NONE,67%,69%,75%
MALE,group C,high school, standard,NONE,70%,70%,65%
FEMALE,group D,master's degree, standard,NONE,62%,70%,75%
FEMALE,group D,some college, standard,NONE,69%,74%,74%
FEMALE,group B,some college, standard,NONE,63%,65%,61%
FEMALE,group E,master's degree, free/reduced,NONE,56%,72%,65%
MALE,group D,some college, standard,NONE,40%,42%,38%
MALE,group E,some college, standard,NONE,97%,87%,82%
MALE,group E,associate's degree, standard,COMPLETED,81%,81%,79%
FEMALE,group D,associate's degree, standard,NONE,74%,81%,83%
FEMALE,group D,some high school, free/reduced,NONE,50%,64%,59%
FEMALE,group D,associate's degree, free/reduced,COMPLETED,75%,90%,88%
MALE,group B,associate's degree, free/reduced,NONE,57%,56%,57%
MALE,group C,associate's degree, free/reduced,NONE,55%,61%,54%
FEMALE,group C,associate's degree, standard,NONE,58%,73%,68%
FEMALE,group B,associate's degree, standard,NONE,53%,58%,65%
MALE,group B,some college, free/reduced,COMPLETED,59%,65%,66%
FEMALE,group E,associate's degree, free/reduced,NONE,50%,56%,54%
MALE,group B,associate's degree, standard,NONE,65%,54%,57%
FEMALE,group A,associate's degree, standard,COMPLETED,55%,65%,62%
FEMALE,group C,high school, standard,NONE,66%,71%,76%
FEMALE,group D,associate's degree, free/reduced,COMPLETED,57%,74%,76%
MALE,group C,high school, standard,COMPLETED,82%,84%,82%
MALE,group E,some college, standard,NONE,53%,55%,48%
MALE,group E,associate's degree, free/reduced,COMPLETED,77%,69%,68%
MALE,group C,some college, standard,NONE,53%,44%,42%
MALE,group D,high school, standard,NONE,88%,78%,75%
FEMALE,group C,some high school, free/reduced,COMPLETED,71%,84%,87%
FEMALE,group C,high school, free/reduced,NONE,33%,41%,43%
FEMALE,group E,associate's degree, standard,COMPLETED,82%,85%,86%
MALE,group D,associate's degree, standard,NONE,52%,55%,49%
MALE,group D,some college, standard,COMPLETED,58%,59%,58%
FEMALE,group C,some high school, free/reduced,NONE,0%,17%,10%
MALE,group E,bachelor's degree, free/reduced,COMPLETED,79%,74%,72%
MALE,group A,some high school, free/reduced,NONE,39%,39%,34%
MALE,group A,associate's degree, free/reduced,NONE,62%,61%,55%
FEMALE,group C,associate's degree, standard,NONE,69%,80%,71%
FEMALE,group D,some high school, standard,NONE,59%,58%,59%
MALE,group B,some high school, standard,NONE,67%,64%,61%
MALE,group D,some high school, free/reduced,NONE,45%,37%,37%
FEMALE,group C,some college, standard,NONE,60%,72%,74%
MALE,group B,associate's degree, free/reduced,NONE,61%,58%,56%
FEMALE,group C,associate's degree, standard,NONE,39%,64%,57%
FEMALE,group D,some college, free/reduced,COMPLETED,58%,63%,73%
MALE,group D,some college, standard,COMPLETED,63%,55%,63%
FEMALE,group A,associate's degree, free/reduced,NONE,41%,51%,48%
MALE,group C,some high school, free/reduced,NONE,61%,57%,56%
MALE,group C,some high school, standard,NONE,49%,49%,41%
MALE,group B,associate's degree, free/reduced,NONE,44%,41%,38%
MALE,group E,some high school, standard,NONE,30%,26%,22%
MALE,group A,bachelor's degree, standard,COMPLETED,80%,78%,81%
FEMALE,group D,some high school, standard,COMPLETED,61%,74%,72%
FEMALE,group E,master's degree, standard,NONE,62%,68%,68%
FEMALE,group B,associate's degree, standard,NONE,47%,49%,50%
MALE,group B,high school, free/reduced,NONE,49%,45%,45%
MALE,group A,some college, free/reduced,COMPLETED,50%,47%,54%
MALE,group E,associate's degree, standard,NONE,72%,64%,63%
MALE,group D,high school, free/reduced,NONE,42%,39%,34%
FEMALE,group C,some college, standard,NONE,73%,80%,82%
FEMALE,group C,some college, free/reduced,NONE,76%,83%,88%
FEMALE,group D,associate's degree, standard,NONE,71%,71%,74%
FEMALE,group A,some college, standard,NONE,58%,70%,67%
FEMALE,group D,some high school, standard,NONE,73%,86%,82%
FEMALE,group C,bachelor's degree, standard,NONE,65%,72%,74%
MALE,group C,high school, free/reduced,NONE,27%,34%,36%
MALE,group C,high school, standard,NONE,71%,79%,71%
MALE,group C,associate's degree, free/reduced,COMPLETED,43%,45%,50%
FEMALE,group B,some college, standard,NONE,79%,86%,92%
MALE,group C,associate's degree, free/reduced,COMPLETED,78%,81%,82%
MALE,group B,some high school, standard,COMPLETED,65%,66%,62%
FEMALE,group E,some college, standard,COMPLETED,63%,72%,70%
FEMALE,group D,some college, free/reduced,NONE,58%,67%,62%
FEMALE,group D,bachelor's degree, standard,NONE,65%,67%,62%
MALE,group B,some college, standard,NONE,79%,67%,67%
MALE,group D,bachelor's degree, standard,COMPLETED,68%,74%,74%
FEMALE,group D,associate's degree, standard,NONE,85%,91%,89%
MALE,group B,high school, standard,COMPLETED,60%,44%,47%
MALE,group C,some college, standard,COMPLETED,98%,86%,90%
FEMALE,group C,some college, standard,NONE,58%,67%,72%
FEMALE,group D,master's degree, standard,NONE,87%,100%,100%
MALE,group E,associate's degree, standard,COMPLETED,66%,63%,64%
FEMALE,group B,associate's degree, free/reduced,NONE,52%,76%,70%
FEMALE,group B,some high school, standard,NONE,70%,64%,72%
FEMALE,group D,associate's degree, free/reduced,COMPLETED,77%,89%,98%
MALE,group C,high school, standard,NONE,62%,55%,49%
MALE,group A,associate's degree, standard,NONE,54%,53%,47%
FEMALE,group D,some college, standard,NONE,51%,58%,54%
FEMALE,group E,bachelor's degree, standard,COMPLETED,99%,100%,100%
MALE,group C,high school, standard,NONE,84%,77%,74%
FEMALE,group B,bachelor's degree, free/reduced,NONE,75%,85%,82%
FEMALE,group D,bachelor's degree, standard,NONE,78%,82%,79%
FEMALE,group D,some high school, standard,NONE,51%,63%,61%
FEMALE,group C,some college, standard,NONE,55%,69%,65%
FEMALE,group C,bachelor's degree, standard,COMPLETED,79%,92%,89%
MALE,group B,associate's degree, standard,COMPLETED,91%,89%,92%
FEMALE,group C,some college, standard,COMPLETED,88%,93%,93%
MALE,group D,high school, free/reduced,NONE,63%,57%,56%
MALE,group E,some college, standard,NONE,83%,80%,73%
