cust_id,item_id
20,2
407,4
607,1
329,5
874,6
322,8
700,2
904,10
652,9
229,4
846,9
995,5
223,1
989,1
987,4
832,10
621,6
739,10
484,6
213,8
16,8
899,6
674,6
932,6
366,6
617,8
593,6
725,10
719,9
336,1
307,2
144,4
833,10
229,8
294,8
415,2
124,7
886,7
51,10
222,9
118,6
344,7
830,10
823,6
859,6
207,8
407,3
320,1
434,9
99,9
186,1
915,7
858,10
651,7
318,8
797,10
773,8
641,4
57,8
382,6
354,8
316,9
650,2
981,10
268,9
870,3
803,5
393,2
788,2
563,6
877,3
896,8
146,2
498,1
31,3
939,1
310,6
783,7
508,2
520,3
591,10
959,2
75,9
728,2
138,4
174,5
463,4
691,6
367,9
181,4
447,9
683,4
45,2
8,9
547,8
962,2
437,2
39,5
597,2
878,7
771,6
165,9
239,3
477,5
555,1
108,5
567,6
45,5
845,1
986,3
807,1
626,2
956,9
274,2
674,10
577,4
616,7
211,4
929,7
214,6
222,5
206,2
541,8
321,9
49,1
121,2
843,4
661,9
787,8
868,8
576,1
767,1
229,4
980,6
865,9
733,2
29,10
789,9
274,3
626,10
21,7
79,5
255,8
248,8
994,7
152,3
947,6
974,10
949,6
338,3
243,1
349,8
530,6
138,6
36,4
564,8
819,4
459,8
541,6
991,1
32,9
675,10
276,5
769,8
811,2
6,1
919,10
353,5
298,10
738,10
93,8
253,5
243,9
150,8
749,9
1000,1
18,1
400,7
145,6
195,10
362,9
393,3
714,9
467,2
854,1
173,9
475,4
850,2
750,5
673,7
795,7
629,10
732,2
482,4
191,10
550,8
784,5
473,10
52,4
383,2
745,6
688,5
630,10
448,2
685,8
874,5
143,7
504,7
750,3
855,1
146,5
622,4
393,5
918,7
475,9
215,6
85,4
627,10
26,4
391,9
750,6
935,5
71,10
287,2
266,8
48,5
507,4
693,7
979,9
117,3
567,7
715,3
210,8
403,2
605,6
384,5
720,10
603,9
937,1
636,4
458,3
677,9
364,7
39,2
754,7
940,6
149,5
545,7
301,7
134,10
